campaign_name,campaign_id,impressions,clicks,cost,date,reach,frequency,customer_name,channel,campaign_id_uniq,conversions,ctr,cost_per_conversion
[kcell] [GDN] [CPM] [2024] - Kcell_Auleti,20913904745,468626,353,79.992011,2024-01-04,129428,3.620893469728343,Kcell/activ - CORE [In-house],Google,['20913904745'],,0.08,
[kcell] [GDN] [CPM] [2024] - Kcell_Auleti,20913904745,352603,900,60.645653,2024-01-03,73084,4.824735920310875,Kcell/activ - CORE [In-house],Google,['20913904745'],,0.26,
[kcell] [GDN] [CPM] [2024] - Kcell_Auleti,20913904745,267975,187,49.65172,2024-01-05,72188,3.71226519643154,Kcell/activ - CORE [In-house],Google,['20913904745'],,0.07,
[Kcell] [Video] [CPM] [2023] - Kcell_Auleti - 06.12,20840119641,160741,829,41.206437,2024-01-02,147295,1.3448657456125463,Kcell/activ - CORE [In-house],Google,['20840119641'],,0.52,
[Kcell] [Video] [CPM] [2023] - Kcell_Auleti - 06.12,20840119641,156570,716,40.17213,2024-01-01,146652,1.3338311103837657,Kcell/activ - CORE [In-house],Google,['20840119641'],,0.46,
[Kcell] [Video] [CPM] [2023] - Kcell_Auleti - 06.12,20840119641,144625,975,76.042902,2024-01-24,0,0.0,Kcell/activ - CORE [In-house],Google,['20840119641'],,0.67,
[Kcell] [Video] [CPM] [2023] - Kcell_Auleti - 06.12,20840119641,131290,74,40.20273,2023-12-27,110211,1.5259547595067644,Kcell/activ - CORE [In-house],Google,['20840119641'],,0.06,
[Kcell] [Video] [CPM] [2023] - Kcell_Auleti - 06.12,20840119641,130702,106,40.667125,2023-12-26,108600,1.5167495395948434,Kcell/activ - CORE [In-house],Google,['20840119641'],,0.08,
[Kcell] [Video] [CPM] [2023] - Kcell_Auleti - 06.12,20840119641,127644,68,39.63061,2023-12-28,104853,1.5640372712273374,Kcell/activ - CORE [In-house],Google,['20840119641'],,0.05,
[Kcell] [Video] [CPM] [2023] - Kcell_Auleti - 06.12,20840119641,127198,126,39.068358,2023-12-29,108655,1.506170907919562,Kcell/activ - CORE [In-house],Google,['20840119641'],,0.1,
[Kcell] [Video] [CPM] [2023] - Kcell_Auleti - 06.12,20840119641,123897,126,36.187531,2023-12-31,114847,1.6268687906519108,Kcell/activ - CORE [In-house],Google,['20840119641'],,0.1,
[Kcell] [Video] [CPM] [2023] - Kcell_Auleti - 06.12,20840119641,123774,99,37.928918,2023-12-30,117483,1.5645072052977878,Kcell/activ - CORE [In-house],Google,['20840119641'],,0.08,
